Recency,Frequency,Monetary,R,F,M
24,4,2309,2,3,1
14,7,6502,4,5,2
18,4,4675,3,3,2
16,4,10829,3,3,4
14,5,11111,4,4,4
12,9,6150,5,5,2
11,4,8674,5,3,3
5,4,14161,5,3,5
13,3,1552,4,2,1
14,7,2480,4,5,1
13,5,9560,4,4,3
19,2,1244,2,1,1
37,3,7194,1,2,3
17,7,6516,3,5,2
26,9,10317,1,5,4
22,2,6710,2,1,3
14,5,13648,4,4,4
29,3,9729,1,2,4
9,3,5975,5,2,2
29,4,18488,1,3,5
27,4,4534,1,3,2
15,4,8415,4,3,3
44,1,919,1,1,1
11,9,12850,5,5,4
28,3,9414,1,2,3
15,4,6937,4,3,3
19,4,11324,2,3,4
11,8,5066,5,5,2
17,4,8349,3,3,3
19,3,9095,2,2,3
12,4,8192,5,3,3
16,4,7544,3,3,3
13,5,13440,4,4,4
6,4,11230,5,3,4
9,6,6075,5,4,2
30,4,4845,1,3,2
11,5,8590,5,4,3
3,5,5751,5,4,2
17,6,9079,3,4,3
18,3,4480,3,2,2
22,3,11643,2,2,4
14,6,4924,4,4,2
32,3,1710,1,2,1
18,1,3858,3,1,2
12,11,10599,5,5,4
12,4,5174,5,3,2
11,5,7828,5,4,3
15,4,11434,4,3,4
36,4,4921,1,3,2
12,5,8701,5,4,3
19,2,4389,2,1,2
13,6,13741,4,4,5
3,6,10295,5,4,4
23,3,8558,2,2,3
18,7,18038,3,5,5
12,3,7601,5,2,3
26,1,392,1,1,1
12,5,9908,5,4,4
13,7,19209,4,5,5
16,5,12969,3,4,4
7,6,20134,5,4,5
20,3,4878,2,2,2
37,2,7910,1,1,3
30,1,2933,1,1,1
12,10,11475,5,5,4
13,3,14170,4,2,5
27,2,3867,1,1,2
22,3,10087,2,2,4
17,6,26252,3,4,5
9,5,9911,5,4,4
16,4,1082,3,3,1
29,1,2298,1,1,1
12,5,8821,5,4,3
22,6,1482,2,4,1
24,3,17687,2,2,5
19,5,2350,2,4,1
16,3,7705,3,2,3
13,4,1983,4,3,1
23,3,3133,2,2,1
25,4,3345,2,3,1
12,7,23700,5,5,5
23,5,19294,2,4,5
15,8,17823,4,5,5
11,2,1339,5,1,1
22,5,21113,2,4,5
